Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
foaming-kitchen-cleaner,Foaming Kitchen Cleaner,"<p>Plant-powered foam that lifts stubborn grease without harsh chemicals.</p>",Purelane,Homecare,"kitchen,best-seller",TRUE,Title,Default Title,PL-KITCHEN-500,shopify,40,deny,manual,200,299,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/kitchen.svg,Purelane foaming kitchen cleaner,active
tap-limescale-cleaner,Tap Cleaner & Limescale Remover,"<p>Melts hard-water marks from taps and bathroom fittings.</p>",Purelane,Homecare,"bathroom,best-seller",TRUE,Title,Default Title,PL-TAP-500,shopify,35,deny,manual,200,299,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/tap.svg,Purelane tap and limescale cleaner,active
copper-bronze-brass-cleaner,Copper Bronze & Brass Cleaner,"<p>Restores shine to copper, bronze and brass surfaces.</p>",Purelane,Homecare,"kitchen,top-rated",TRUE,Title,Default Title,PL-METAL-300,shopify,25,deny,manual,200,299,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/metal.svg,Purelane metal cleaner,active
washing-machine-cleaner,Washing Machine Cleaner & Descaler Tablets,"<p>Deep-cleans residue and limescale inside washing machines.</p>",Purelane,Laundry,"laundry,new",TRUE,Title,Default Title,PL-WM-8,shopify,0,deny,manual,200,299,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/wm.svg,Purelane washing machine cleaner tablets,active
plant-based-laundry-detergent,Plant-Based Laundry Detergent,"<p>Removes stains and odour while staying gentle on fabric.</p>",Purelane,Laundry,"laundry,best-seller",TRUE,Title,Default Title,PL-LAUNDRY-1L,shopify,50,deny,manual,299,399,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/laundry.svg,Purelane plant-based laundry detergent,active
non-toxic-toilet-cleaner,Non-Toxic Toilet Cleaner,"<p>Plant-derived toilet cleaner for everyday deep cleaning.</p>",Purelane,Homecare,"bathroom",TRUE,Title,Default Title,PL-TOILET-500,shopify,30,deny,manual,200,299,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/toilet.svg,Purelane non-toxic toilet cleaner,active
herbal-floor-cleaner,Herbal Floor Cleaner,"<p>Neem-powered floor cleaner made for homes with kids and pets.</p>",Purelane,Homecare,"floor,pet-safe",TRUE,Title,Default Title,PL-FLOOR-1L,shopify,45,deny,manual,249,349,TRUE,TRUE,,,active
gentle-hydrating-handwash,Gentle Hydrating Plant-Based Liquid Handwash for Sensitive Hands and Everyday Family Use,"<p>A mild plant-based handwash that cleans without leaving hands dry.</p>",Purelane,Personal Care,"hands,long-title",TRUE,Title,Default Title,PL-HAND-500,shopify,28,deny,manual,199,279,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/handwash.svg,Purelane gentle hydrating handwash,active
kitchen-essentials-bundle,Kitchen Essentials Bundle,"<p>Kitchen cleaner, dishwashing care and tap cleaner in one value pack.</p>",Purelane,Bundle,"bundle,kitchen",TRUE,Title,Default Title,PL-BUNDLE-KITCHEN,shopify,20,deny,manual,499,897,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/combo2.svg,Purelane kitchen essentials bundle,active
bathroom-deep-clean-bundle,Bathroom Deep Clean Bundle,"<p>A focused set for toilets, fittings and hard-water marks.</p>",Purelane,Bundle,"bundle,bathroom",TRUE,Title,Default Title,PL-BUNDLE-BATH,shopify,20,deny,manual,499,897,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/combo2.svg,Purelane bathroom bundle,active
complete-home-bundle,Complete Home Bundle,"<p>The plant-powered essentials for kitchen, laundry, bathroom and floors.</p>",Purelane,Bundle,"bundle,best-value",TRUE,Title,Default Title,PL-BUNDLE-HOME,shopify,20,deny,manual,799,1495,TRUE,TRUE,https://raw.githubusercontent.com/SaumyaDwivedi179/purelane/main/product-images/combo2.svg,Purelane complete home bundle,active

